qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en
Q15198941,Maharashtra,17.478520,73.537239,"Bhawani Waghjai Temple, Terav",,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bhawani%20Waghjai%20Temple%20of%20Terav.jpg?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Bhawani_Waghjai_Temple_of_Terav.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Bhawani_Waghjai_Temple_of_Terav.jpg,,,"https://en.wikipedia.org/wiki/Bhawani_Waghjai_Temple,_Terav"
Q1520207,Kerala,9.437500,77.080500,Sabarimala temple complex,सबरीमाला श्री धर्मसस्था मन्दिर,சபரிமலை,శబరిమల,ಶಬರಿಮಲೈ,ശബരിമല ധർമ്മശാസ്താക്ഷേത്രം,শবরীমালা,ଶବରୀମାଳା ମନ୍ଦିର,शबरीमला,,http://commons.wikimedia.org/wiki/Special:FilePath/Shabarimala.JPG?width=640,,,,,,,,,Sabarimala temple complex,,http://commons.wikimedia.org/wiki/Special:FilePath/Shabarimala.JPG?width=640,,,https://en.wikipedia.org/wiki/Sabarimala_Temple
Q15206975,Gujarat,23.067778,72.603889,Camp Hanuman Temple,कैंप हनुमान मंदिर,,,,,,କ୍ୟାମ୍ପ ହନୁମାନ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Camp%20Hanuman%20Ji.jpg?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Camp_Hanuman_Ji.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1f/Camp_Hanuman_Ji.jpg,,,https://en.wikipedia.org/wiki/Camp_Hanuman_Temple
Q15209592,Jharkhand,23.632222,85.710556,Chhinnamasta Temple,छिन्नमस्तिका मन्दिर,சின்னமஸ்தா கோயில்,ఛిన్నమస్తా ఆలయం,ಛಿನ್ನಮಸ್ತ ದೇವಾಲಯ,,,ଛିନ୍ନମସ୍ତା ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maa%20Chhinnamasta%20Temple.jpg?width=640,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Chhinnamastika_Temple_Rajrappa.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Chhinnamastika_Temple_Rajrappa.jpg,,,"https://en.wikipedia.org/wiki/Chhinnamasta_Temple,_Rajrappa"
Q15213877,,10.904582,76.932626,Dharmalinga Malai,,தர்மலிங்க மலை,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20Dharmalinga%20malai.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20Dharmalinga%20malai.jpg?width=640,,,https://en.wikipedia.org/wiki/Dharmalinga_Malai
Q15213882,Karnataka,12.960120,75.378360,Dharmasthala Temple,dharmastal temple,தர்மசாலா கோயில்,మంజునాథ ఆలయం,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dharmasthala%20Temple%2C%20Karnataka%20%282025%29%2004.jpg?width=640,Shiva,,,,,,,,Dharmasthala Temple,https://upload.wikimedia.org/wikipedia/commons/a/ad/Dharmasthala_1.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Dharmasthala_1.jpg,,,https://en.wikipedia.org/wiki/Dharmasthala_Temple
Q15217094,Kerala,9.230500,76.481800,Evoor Major Sri krishnaswamy temple,,ஏவூர் மேஜர் கிருஷ்ணசுவாமி கோயில்,,,ഏവൂർ ശ്രീകൃഷ്ണസ്വാമിക്ഷേത്രം,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Evoor%20temple.JPG?width=640,,,,,,,,,Evoor Krishna Temple,https://upload.wikimedia.org/wikipedia/commons/3/3a/Evoor_temple.JPG,https://upload.wikimedia.org/wikipedia/commons/3/3a/Evoor_temple.JPG,,,https://en.wikipedia.org/wiki/Evoor_Major_Sri_Krishnaswamy_Temple
Q15221380,Maharashtra,17.033333,74.666667,Ganpati Temple,,,,,,,,,,,,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/Ganpati_Temple,_Tasgaon"
Q15221632,Uttar Pradesh,25.960550,81.677700,Ghuisarnath Temple,घुइसरनाथ मंदिर,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ghisarnath%20Dham4.jpg?width=640,Shiva,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ghisarnath%20Dham4.jpg?width=640,,,https://en.wikipedia.org/wiki/Ghuisarnath_Temple
Q15221964,Tamil Nadu,11.399444,79.693333,Govindaraja Perumal Temple,,சிதம்பரம் திருச்சித்ரகூடம் கோவிந்தராஜன் கோயில்,తిరుచ్చిత్తరకూడమ్,,,গোবিন্দরাজা পেরুমল মন্দির,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Natraja%20Temple.jpg?width=640,,,,,,,,,"Thillai Nataraja Temple, Chidambaram",,http://commons.wikimedia.org/wiki/Special:FilePath/Natraja%20Temple.jpg?width=640,,,https://en.wikipedia.org/wiki/Govindaraja_Perumal_Temple
