qid,state_name,lat,lon,name_en,name_hi,name_ta,name_te,name_kn,name_ml,name_bn,name_or,name_mr,name_gu,image_url,deity,religion,architecture_style,commissioned_by,founded_by,inception,heritage_status,inscription,commons_category,wiki_image_url,best_image_url,image_license,image_author,wikipedia_en
Q25643949,Odisha,20.719394,84.533570,Maheshwari Temple,माहेश्वरी मंदिर,,,,,মহেশ্বরী মন্দির,ମାହେଶ୍ଵରୀ ମନ୍ଦିର,,,http://commons.wikimedia.org/wiki/Special:FilePath/Deulajhari%20Hot%20Spring%2CAthmallik%2C%20Angul.JPG?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Deulajhari%20Hot%20Spring%2CAthmallik%2C%20Angul.JPG?width=640,CC BY-SA 3.0,Aditya Mahar,
Q25643974,Odisha,20.357017,85.804410,Shikhar Chandi,शिखरचंडी,,,,,শিখর চণ্ডী,ଶିଖରଚଣ୍ଡୀ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maa%20Tarini%20Temple%206.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maa%20Tarini%20Temple%206.jpg?width=640,CC BY-SA 3.0,Krupasindhu Muduli,
Q25644010,Odisha,19.841379,85.828831,Bata Mangala,बता मंगला,,,,,বাতা মঙ্গলা,ବାଟମଙ୍ଗଳା,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bata%20mangala%20temple.jpeg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bata%20mangala%20temple.jpeg?width=640,Public domain,Abha S Pradhan,
Q25644152,Odisha,19.170000,83.420000,"Ma Mangala Ma Temple, Rayagada","माँ मंगल माँ मंदिर, रायगडा",,,,,"মা মঙ্গল মা মন্দির, রায়গড়া","ମା ମଙ୍ଗଳା ମା ମନ୍ଦିର, ରାୟଗଡ଼ା",,,http://commons.wikimedia.org/wiki/Special:FilePath/Maa%20Mangala%20Maa%20Temple%2C%20Rayagada.jpg?width=640,,,,,,,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maa%20Mangala%20Maa%20Temple%2C%20Rayagada.jpg?width=640,CC BY-SA 4.0,Hpsatapathy,
Q2578551,Odisha,20.240606,85.835781,Ananta Vasudeva Temple,अनंत वासुदेव मंदिर,,అనంత వాసుదేవ ఆలయం,ಅನಂತ ವಾಸುದೇವ ದೇವಸ್ಥಾನ,അനന്ത വാസുദേവ ക്ഷേത്രം,অনন্ত বাসুদেব মন্দির,ଅନନ୍ତ ବାସୁଦେବ ମନ୍ଦିର,अनंत वासुदेव मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Ananta%20Basudev%20Temple%2C%20Bhubaneswar.jpg?width=640,,,,,,,Monument of National Importance,,Ananta Vasudeva Temple,https://upload.wikimedia.org/wikipedia/commons/0/0a/Ananta_Vasudev.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Ananta_Vasudev.jpg,CC BY-SA 4.0,Satyabrata,https://en.wikipedia.org/wiki/Ananta_Vasudeva_Temple
Q3517635,Odisha,20.240400,85.831500,Yameshwar Temple,यमेश्वर मंदिर,,యమేశ్వరాలయం,ಯಮೇಶ್ವರ ದೇವಸ್ಥಾನ,യമേശ്വർ ക്ഷേത്രം,যমেশ্বর মন্দির,ଯମେଶ୍ୱର ମନ୍ଦିର,यमेश्वर मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Yameswar%20Temple%2C%20Bhubaneswar.jpg?width=640,Shiva,,,,,,Monument of National Importance,,Yameshwar Temple,https://upload.wikimedia.org/wikipedia/commons/c/c3/Collage_of_Jameswar_Temple.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Collage_of_Jameswar_Temple.jpg,CC BY-SA 4.0,Sailesh Patnaik,https://en.wikipedia.org/wiki/Yameshwar_Temple
Q3536413,Odisha,20.262800,85.786000,Udayagiri and Khandagiri Caves,उदयगिरि,"உதயகிரி, கந்தகிரி குகைகள்","ఉదయగిరి, ఖండగిరి గుహలు",ಉದಯಗಿರಿ ಮತ್ತು ಖಂಡಗಿರಿ ಗುಹೆಗಳು,ഉദയഗിരി-ഖണ്ഡഗിരി ഗുഹകൾ,উদয়গিরি এবং খণ্ডগিরি গুহা,ଉଦୟଗିରି ଓ ଖଣ୍ଡଗିରି ଗୁମ୍ଫା,उदयगिरी आणि खंडगिरी लेणी,,http://commons.wikimedia.org/wiki/Special:FilePath/Khandagari%20and%20Udaygiri%20featured%20image.jpg?width=640,,,,,,,Monument of National Importance,,Udayagiri and Khandagiri Caves,https://upload.wikimedia.org/wikipedia/commons/7/72/Khandagari_and_Udaygiri_featured_image.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/Khandagari_and_Udaygiri_featured_image.jpg,CC BY 4.0,Government of Odisha,https://en.wikipedia.org/wiki/Udayagiri_and_Khandagiri_caves
Q3635669,Odisha,20.241583,85.851803,Muktesvara deula,मुक्तेश्वर मंदिर,"முக்தீஸ்வரர் கோயில், ஒடிசா",ముక్తేశ్వర దేవాలయం,ಮುಕ್ತೇಶ್ವರ ದೇವು,"മുക്തേശ്വര ക്ഷേത്രം, ഭുവനേശ്വർ","মুক্তেশ্বর মন্দির, ভুবনেশ্বর",ମୁକ୍ତେଶ୍ଵର ଦେଉଳ,मुक्तेश्वर मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Muktesvara%20deula.jpg?width=640,Shiva,,,,,1000-01-01T00:00:00Z,Monument of National Importance,,Mukteshvara Temple,https://upload.wikimedia.org/wikipedia/commons/7/7c/Muktesvar_Temple.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Muktesvar_Temple.jpg,CC BY-SA 4.0,Robin Mohapatra,"https://en.wikipedia.org/wiki/Mukteshvara_Temple,_Bhubaneswar"
Q3908319,Odisha,19.186959,84.769194,Siddha Bhairavi,,,,,,,ସିଦ୍ଧ ଭୈରବୀ,,,http://commons.wikimedia.org/wiki/Special:FilePath/Siddhabhairavi%20temple%20mantridi%201.jpg?width=640,,,,,,,,,"Siddha Bhairavi temple, Mantridi",https://upload.wikimedia.org/wikipedia/commons/4/4d/Siddhabhairavi_temple_%2C_mantridi%2C_oridda.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Siddhabhairavi_temple_%2C_mantridi%2C_oridda.jpg,CC BY-SA 4.0,K.Venkataramana,https://en.wikipedia.org/wiki/Siddha_Bhairavi
Q41916226,Odisha,,,Satrughneshwar Temple,,,శత్రుఘ్నేశ్వర ఆలయం,"ಸತ್ರುಘನೇಶ್ವರ ದೇವಸ್ಥಾನ, ಭುವನೇಶ್ವರ",,শত্রুঘ্নশ্বর মন্দির,ଶତ୍ରୁଘ୍ନେଶ୍ୱର ମନ୍ଦିର,शत्रुघ्नेश्वर मंदिर,,http://commons.wikimedia.org/wiki/Special:FilePath/Satrughnesvara%20Temples%20%2819987961462%29.jpg?width=640,,,,,,,,,Satrughneswara Temple,,http://commons.wikimedia.org/wiki/Special:FilePath/Satrughnesvara%20Temples%20%2819987961462%29.jpg?width=640,CC BY 2.0,"Mike Prince from Bangalore, India",
